%time,field.x,field.y,field.theta
493640000000,62.9998682264,12.0000001833,8.54505427832e-08
493741000000,62.9998681941,12.0000001833,8.54705682702e-08
493840000000,62.9998681725,12.0000001834,8.54839192028e-08
493941000000,62.9998681402,12.0000001834,8.55039464894e-08
494040000000,62.9998681186,12.0000001834,8.55172832632e-08
494140000000,62.9998680863,12.0000001835,8.55372962472e-08
494240000000,62.9998680648,12.0000001835,8.55506471329e-08
494340000000,62.9998680325,12.0000001835,8.55706749069e-08
494440000000,62.9998680109,12.0000001836,8.55840246861e-08
494541000000,62.9998679786,12.0000001836,8.5604052841e-08
494640000000,62.999867957,12.0000001836,8.56174065569e-08
494740000000,62.9998679247,12.0000001837,8.56374278298e-08
494840000000,62.9998679032,12.0000001837,8.56507670101e-08
494940000000,62.9998678708,12.0000001837,8.56707851737e-08
495041000000,62.9998678493,12.0000001838,8.56841311003e-08
495140000000,62.999867817,12.0000001838,8.57041598671e-08
495240000000,62.9998677954,12.0000001838,8.57175158416e-08
495340000000,62.9998677631,12.0000001839,8.57375430628e-08
495440000000,62.9998677416,12.0000001839,8.5750898649e-08
495541000000,62.9998677092,12.000000184,8.57709228477e-08
495640000000,62.9998676877,12.000000184,8.5784263259e-08
495741000000,62.9998676554,12.000000184,8.58042803094e-08
495840000000,62.9998676338,12.0000001841,8.58176257355e-08
495940000000,62.9998676015,12.0000001841,8.58376524301e-08
496040000000,62.9998675799,12.0000001841,8.58510052158e-08
496140000000,62.9998675476,12.0000001842,8.5871030782e-08
496241000000,62.9998675261,12.0000001842,8.58843803582e-08
496340000000,62.9998674937,12.0000001842,8.59044049501e-08
496440000000,62.9998674722,12.0000001843,8.59177413212e-08
496540000000,62.9998674399,12.0000001843,8.59377665502e-08
496639000000,62.9998674183,12.0000001843,8.5951112962e-08
496740000000,62.999867386,12.0000001844,8.59711414957e-08
496842000000,62.9998673644,12.0000001844,8.59844947655e-08
496940000000,62.9998673321,12.0000001845,8.60045222384e-08
497040000000,62.9998673106,12.0000001845,8.60178719631e-08
497140000000,62.9998672782,12.0000001845,8.60378979849e-08
497240000000,62.9998672567,12.0000001846,8.60512336474e-08
497340000000,62.9998672244,12.0000001846,8.60712628758e-08
497440000000,62.9998672028,12.0000001846,8.60846103496e-08
497540000000,62.9998671705,12.0000001847,8.61046363356e-08
497640000000,62.9998671489,12.0000001847,8.61179900429e-08
497741000000,62.9998671166,12.0000001847,8.61380161661e-08
497841000000,62.9998670951,12.0000001848,8.6151365334e-08
497940000000,62.9998670627,12.0000001848,8.61713754091e-08
498041000000,62.9998670412,12.0000001848,8.61847194925e-08
498140000000,62.9998670089,12.0000001849,8.62047437885e-08
498240000000,62.9998669873,12.0000001849,8.6218094181e-08
498340000000,62.999866955,12.000000185,8.62381206921e-08
498440000000,62.9998669334,12.000000185,8.62514726009e-08
498540000000,62.9998669011,12.000000185,8.62714982746e-08
498640000000,62.9998668796,12.0000001851,8.62848508341e-08
498740000000,62.9998668472,12.0000001851,8.63048562405e-08
498840000000,62.9998668257,12.0000001851,8.63182010377e-08
498940000000,62.9998667934,12.0000001852,8.63382323742e-08
499040000000,62.9998667718,12.0000001852,8.63515817851e-08
499140000000,62.9998667395,12.0000001852,8.63716106977e-08
499240000000,63.0524283778,11.9991062291,-0.057518388758
499340000000,63.1587280359,11.9880032082,-0.174528824844
499440000000,63.2285593585,11.9737326834,-0.252535782125
499540000000,63.3306924485,11.9422409978,-0.369546217931
499640000000,63.3964346758,11.9147088159,-0.447553175026
499740000000,63.4905442688,11.8640483096,-0.563581416323
499840000000,63.5497799001,11.824408136,-0.639083955452
499940000000,63.632674156,11.7569348674,-0.750197415126
500040000000,63.6836015056,11.7070671004,-0.82222820208
500141000000,63.7530175808,11.6257865503,-0.928057542522
500240000000,63.7944090912,11.5677579764,-0.996469597366
500340000000,63.8489144747,11.4758053174,-1.09680110325
500440000000,63.8800738525,11.4116972768,-1.16154547538
500540000000,63.9189778704,11.3121304179,-1.25636641238
500640000000,63.9396620906,11.2439169713,-1.31745468846
500740000000,63.9628947702,11.1395703282,-1.40675642759
500840000000,63.9732376338,11.0690430865,-1.46413926886
500940000000,63.9812399125,10.9624372805,-1.54784584665
501040000000,63.9816778258,10.8911559912,-1.60146028975
501140000000,63.9752832558,10.7844379252,-1.67952692471
501240000000,63.9664727651,10.713700908,-1.72934776969
501340000000,63.9467909917,10.6086151417,-1.80168358459
501441000000,63.9295407055,10.5394493608,-1.84763916764
501540000000,63.8978621308,10.4373339237,-1.91414369009
501641000000,63.8730702202,10.3704986366,-1.95616904814
501740000000,63.830783368,10.2722969013,-2.01664181102
501840000000,63.7993943025,10.2082935428,-2.05458072414
501941000000,63.7479249275,10.114574409,-2.10882691266
502040000000,63.7108887458,10.053663614,-2.14247615909
502140000000,63.6516507476,9.96464789661,-2.19020285599
502240000000,63.6098959812,9.90686872864,-2.21935695789
502340000000,63.5442571685,9.82245901634,-2.26015551215
502440000000,63.4986767262,9.76764667134,-2.28450620964
502540000000,63.4279513144,9.68744798653,-2.3177560793
502640000000,63.3794109061,9.63523817738,-2.33666153032
502740000000,63.3048941756,9.55854680835,-2.36126339822
502840000000,63.2542663365,9.50835811331,-2.37355202615
502940000000,63.1773426478,9.43407912251,-2.38658983656
503040000000,63.1252574791,9.38540587709,-2.38427135238
503141000000,63.047437029,9.31206704274,-2.37219633552
503240000000,62.9961475175,9.26255490491,-2.36029735282
503340000000,62.9204318583,9.18704642187,-2.33957500532
503441000000,62.8708723123,9.13580296778,-2.32411848824
503540000000,62.7980654342,9.0574866675,-2.30035602799
503640000000,62.7505588396,9.00433437114,-2.28519644612
503740000000,62.6807801688,8.92330777427,-2.26383796954
503840000000,62.6351839273,8.86850770864,-2.25158581461
503940000000,62.5679620017,8.78534670901,-2.23600725113
504040000000,62.5237803071,8.72939973087,-2.22956710687
504141000000,62.4586172491,8.64461746742,-2.22957555643
504241000000,62.4152043962,8.58807173193,-2.23638773337
504340000000,62.3491862991,8.50395153468,-2.25086912106
504440000000,62.304437476,8.44845714509,-2.26288188278
504540000000,62.2359994654,8.36629445963,-2.28272398621
504640000000,62.1894543171,8.3122979354,-2.29653091473
504740000000,62.1182532698,8.23251783399,-2.31688938246
504841000000,62.0699138729,8.18012140525,-2.32930134334
504940000000,61.9962509662,8.10260801684,-2.34609795965
505040000000,61.9464768392,8.05157242624,-2.35476412999
505140000000,61.8711077434,7.97571615885,-2.36389422441
505240000000,61.8201543418,7.92585934659,-2.36161048782
505340000000,61.7439572571,7.85083506527,-2.35155427409
505440000000,61.6936598149,7.80031533318,-2.34165056156
505540000000,61.6192515234,7.72351756398,-2.32422862591
505641000000,61.570434922,7.67156569304,-2.31099023419
505740000000,61.4985464844,7.59240478546,-2.29037646546
505840000000,61.4515321885,7.53881642999,-2.27687090043
505940000000,61.3823693883,7.45726325376,-2.25677051463
506040000000,61.3710022333,7.44353660348,-2.25342044419
506140000000,61.3710022539,7.44353662882,-2.25342044684
506240000000,61.3710022675,7.44353664554,-2.25342044689
506340000000,61.3710022879,7.44353667059,-2.25342044688
506440000000,61.3710023015,7.4435366873,-2.25342044687
506540000000,61.3249319942,7.38914769417,-2.31500506815
506641000000,61.2756075213,7.33768912173,-2.37660123553
506740000000,61.1959185355,7.26643502319,-2.46899548647
506840000000,61.1392848779,7.22315087857,-2.53059165366
506940000000,61.0496097259,7.16496283756,-2.62298590435
507040000000,60.9870175154,7.13085786627,-2.68355775666
507140000000,60.8895792463,7.08688262608,-2.77250180683
507240000000,60.8226376861,7.06238971707,-2.82969866971
507340000000,60.7199029666,7.03281866343,-2.91317280996
507441000000,60.6502116826,7.01784041082,-2.96655777722
507541000000,60.5444399087,7.00228309094,-3.04416908521
507640000000,60.4733982209,6.99641403483,-3.09351611527
507740000000,60.3665102284,6.99407800173,3.11820453544
507840000000,60.295273321,6.99668672105,3.0730265322
507940000000,60.1888076596,7.00650093986,3.00791289949
508040000000,60.1182708219,7.01680539905,2.96703415375
508140000000,60.0133761757,7.03751935874,2.90845948582
508240000000,59.9441779568,7.05464672491,2.87200311872
508339000000,59.8416260151,7.08490721018,2.82022892297
508441000000,59.7741590742,7.10793014592,2.78847008175
508540000000,59.6743634384,7.14632298325,2.74382659437
508640000000,59.6087909611,7.17429053166,2.71702577276
